Vivado Simulator 2018.2
Time resolution is 1 ps
T = 1231.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400060 | IR = 21ef0004
T = 1240.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400060 | IR = 21ef0004
T = 1250.0 ps | State = FETCH  | Next State = DECODE | PC = 00400060 | IR = 21ef0004
T = 1260.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400064 | IR = 21ce0004
T = 1271.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400064 | IR = 21ce0004
T = 1280.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400064 | IR = 21ce0004
T = 1290.0 ps | State = FETCH  | Next State = DECODE | PC = 00400064 | IR = 21ce0004
T = 1300.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400068 | IR = 21adffff
T = 1311.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400068 | IR = 21adffff
T = 1320.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400068 | IR = 21adffff
T = 1330.0 ps | State = FETCH  | Next State = DECODE | PC = 00400068 | IR = 21adffff
T = 1340.0 ps | State = DECODE | Next State = R-Type | PC = 0040006c | IR = 15a0fffa
T = 1351.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0040006c | IR = 15a0fffa
T = 1360.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0040006c | IR = 15a0fffa
T = 1370.0 ps | State = FETCH  | Next State = DECODE | PC = 00400054 | IR = 15a0fffa
T = 1380.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400058 | IR = 8df10000
T = 1390.0 ps | State = LW_1   | Next State = LW_2   | PC = 00400058 | IR = 8df10000
T = 1400.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00400058 | IR = 8df10000
T = 1410.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00400058 | IR = 8df10000
T = 1420.0 ps | State = FETCH  | Next State = DECODE | PC = 00400058 | IR = 8df10000
T = 1430.0 ps | State = DECODE | Next State =I/J-Type| PC = 0040005c | IR = add10000
T = 1440.0 ps | State = SW     | Next State = WB_mem | PC = 0040005c | IR = add10000
T = 1450.0 ps | State = WB_mem | Next State = FETCH  | PC = 0040005c | IR = add10000
T = 1460.0 ps | State = FETCH  | Next State = DECODE | PC = 0040005c | IR = add10000
T = 1470.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400060 | IR = 21ef0004
